region,code
Middle East,ARE
Middle East,ARM
Middle East,AZE
Middle East,BHR
Middle East,CYP
Middle East,GEO
Middle East,IRQ
Middle East,ISR
Middle East,JOR
Middle East,KWT
Middle East,LBN
Middle East,OMN
Middle East,PSE
Middle East,QAT
Middle East,SAu
Middle East,SYR
Middle East,TuR
Middle East,YEM
Eastern Africa,BDI
Eastern Africa,COM
Eastern Africa,DJI
Eastern Africa,ERI
Eastern Africa,ETH
Eastern Africa,IOT
Eastern Africa,KEN
Eastern Africa,MDG
Eastern Africa,MOZ
Eastern Africa,MuS
Eastern Africa,MWI
Eastern Africa,MYT
Eastern Africa,REu
Eastern Africa,RWA
Eastern Africa,SOM
Eastern Africa,SYC
Eastern Africa,TZA
Eastern Africa,uGA
Eastern Africa,ZMB
Eastern Africa,ZWE
